Register_Number,Department,Program,Program_Full_Name,Program_Level,Year_of_Study,Semester,Academic_Year,Subject,Marks_100,Grade,Attendance_Percent,Result,Subject_Avg_Marks,Marks_vs_SubjectAvg
2548018,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,56.6,B,96.1,Pass,59.4,-2.8
2548019,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,83.8,A+,68,Pass,59.4,24.4
2548020,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,56.4,B,79.3,Pass,59.4,-3
2548021,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,54.7,B,98,Pass,59.4,-4.7
2548022,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,30.9,F,63.6,Fail,59.4,-28.5
2548023,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,93,O,60.1,Pass,59.4,33.6
2548024,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,53.3,B,92.1,Pass,59.4,-6.1
2548025,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,32.3,F,91.7,Fail,59.4,-27.1
2548026,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,45.8,C,70.6,Pass,59.4,-13.6
2548027,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,29.6,F,95.7,Fail,59.4,-29.8
2548028,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,91.1,O,69.8,Pass,59.4,31.7
2548029,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,52.6,B,83.7,Pass,59.4,-6.8
2548030,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,50.2,B,62.5,Pass,59.4,-9.2
2548031,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,58.4,B,63.8,Pass,59.4,-1
2548032,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,85.2,A+,93,Pass,59.4,25.8
2548033,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,88.1,A+,69.6,Pass,59.4,28.7
2548034,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,95.4,O,69,Pass,59.4,36
2548035,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,40.9,C,61.6,Pass,59.4,-18.5
2548036,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,92.3,O,77.5,Pass,59.4,32.9
2548037,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,68.8,B+,65.5,Pass,59.4,9.4
2548038,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,17.4,F,72.2,Fail,59.4,-42
2548039,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,47.3,C,66.4,Pass,59.4,-12.1
2548040,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,52.7,B,76.2,Pass,59.4,-6.7
2548041,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,88,A+,76.5,Pass,59.4,28.6
2548042,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,62.3,B+,63.5,Pass,59.4,2.9
2548043,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,41.4,C,79.1,Pass,59.4,-18
2548044,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,84.1,A+,75.1,Pass,59.4,24.7
2548045,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,55.2,B,92.3,Pass,59.4,-4.2
2548046,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,35.1,F,95,Fail,59.4,-24.3
2548047,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,57,B,71.9,Pass,59.4,-2.4
2548048,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,81,A+,79.1,Pass,59.4,21.6
2548049,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,30.3,F,76.8,Fail,59.4,-29.1
2548050,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,92.7,O,62.1,Pass,59.4,33.3
2548051,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,93.1,O,67.6,Pass,59.4,33.7
2548052,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,46.7,C,89.5,Pass,59.4,-12.7
2548053,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,30.5,F,70.3,Fail,59.4,-28.9
2548054,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,64.1,B+,66.6,Pass,59.4,4.7
2548055,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,70.8,A,94.4,Pass,59.4,11.4
2548056,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,40,C,74,Pass,59.4,-19.4
2548057,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,63.5,F,98.4,Fail,59.4,4.1
2548058,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,15.1,F,94.9,Fail,59.4,-44.3
2548059,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,70.4,A,82.8,Pass,59.4,11
2548060,Physics,PMa,B.Sc. Physics & Mathematics,UG,1,2,2025-26,Calculus II,81.2,A+,63.7,Pass,59.4,21.8
2348001,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,75.8,A,82.1,Pass,62.8,13
2348002,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,88.4,A+,83.4,Pass,62.8,25.6
2348003,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,56.7,B,71,Pass,62.8,-6.1
2348004,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,46.6,C,91.7,Pass,62.8,-16.2
2348005,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,41.6,C,63.3,Pass,62.8,-21.2
2348006,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,79.1,A,78.1,Pass,62.8,16.3
2348007,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,88.2,A+,69.1,Pass,62.8,25.4
2348008,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,66.4,B+,67,Pass,62.8,3.6
2348009,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,81.5,A+,74.6,Pass,62.8,18.7
2348010,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,66.6,B+,98.6,Pass,62.8,3.8
2348011,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,30.6,F,91.9,Fail,62.8,-32.2
2348012,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,29.4,F,94,Fail,62.8,-33.4
2348013,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,73.5,A,82,Pass,62.8,10.7
2348014,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,51.9,B,68.6,Pass,62.8,-10.9
2348015,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,31.8,F,87.7,Fail,62.8,-31
2348016,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,50,B,83.1,Pass,62.8,-12.8
2348017,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,37.3,F,65.6,Fail,62.8,-25.5
2348018,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,91.2,O,65.5,Pass,62.8,28.4
2348019,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,32.1,F,78.6,Fail,62.8,-30.7
2348020,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,85.1,A+,76.1,Pass,62.8,22.3
2348021,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,73.4,A,64.5,Pass,62.8,10.6
2348022,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,90.9,O,74.2,Pass,62.8,28.1
2348023,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,51.2,B,71.4,Pass,62.8,-11.6
2348024,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,52.7,B+,77,Pass,62.8,-10.1
2348025,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,61.7,B+,63.1,Pass,62.8,-1.1
2348026,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,55.8,B,82.7,Pass,62.8,-7
2348027,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,60.4,B+,93.7,Pass,62.8,-2.4
2348028,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,28.3,F,66.4,Fail,62.8,-34.5
2348029,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,76.4,A,91.8,Pass,62.8,13.6
2348030,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,29.4,F,80,Fail,62.8,-33.4
2348031,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,75.5,A,91.9,Pass,62.8,12.7
2348032,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,18,F,87.4,Fail,62.8,-44.8
2348033,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,86.6,A+,75.8,Pass,62.8,23.8
2348034,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,85.1,A+,96.6,Pass,62.8,22.3
2348035,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,94.7,O,69.4,Pass,62.8,31.9
2348036,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,56.7,B,97.4,Pass,62.8,-6.1
2348037,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,93.9,O,79.7,Pass,62.8,31.1
2348038,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,46.1,C,94.5,Pass,62.8,-16.7
2348039,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,92.7,O,69.8,Pass,62.8,29.9
2348040,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,59.7,B,97.3,Pass,62.8,-3.1
2348041,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,34,F,77.5,Fail,62.8,-28.8
2348042,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,65.3,B+,67.8,Pass,62.8,2.5
2348043,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,28.8,F,80,Fail,62.8,-34
2348044,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,80.5,A+,71.1,Pass,62.8,17.7
2348045,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,43.3,C,77.2,Pass,62.8,-19.5
2348046,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,83.8,A+,86.3,Pass,62.8,21
2348047,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,36.7,F,90.6,Fail,62.8,-26.1
2348048,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,81.3,A+,97.5,Pass,62.8,18.5
2348049,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,65.8,B+,88.2,Pass,62.8,3
2348050,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,37.9,F,77.3,Fail,62.8,-24.9
2348051,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,41.9,C,92.9,Pass,62.8,-20.9
2348052,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,95.9,O,95.9,Pass,62.8,33.1
2348053,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,74,A,83.2,Pass,62.8,11.2
2348054,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,61.1,B+,82.4,Pass,62.8,-1.7
2348055,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,94.5,O,91.8,Pass,62.8,31.7
2348056,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,56.6,B,92,Pass,62.8,-6.2
2348057,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,52,B,67.1,Pass,62.8,-10.8
2348058,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,85.3,A+,86.9,Pass,62.8,22.5
2348059,Physics,PMa,B.Sc. Physics & Mathematics,UG,3,6,2025-26,Complex Analysis,95.8,O,70.4,Pass,62.8,33
2549001,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,33.5,F,64.2,Fail,58.2,-24.7
2549002,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,67.6,B+,72.6,Pass,58.2,9.4
2549003,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,37.3,F,77.5,Fail,58.2,-20.9
2549004,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,61.7,B+,93.3,Pass,58.2,3.5
2549005,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,81.9,A+,69.5,Pass,58.2,23.7
2549006,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,64.3,B+,66.8,Pass,58.2,6.1
2549007,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,47.3,C,75.7,Pass,58.2,-10.9
2549008,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,84.8,A+,61.4,Pass,58.2,26.6
2549009,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,93.2,O,77.3,Pass,58.2,35
2549010,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,89.2,A+,97.1,Pass,58.2,31
2549011,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,64.9,B+,74.4,Pass,58.2,6.7
2549012,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,40,C,90.1,Pass,58.2,-18.2
2549013,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,32.5,F,72.5,Fail,58.2,-25.7
2549014,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,88,A+,68.8,Pass,58.2,29.8
2549015,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,75.5,A,65.2,Pass,58.2,17.3
2549016,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,16,F,93,Fail,58.2,-42.2
2549017,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,85.1,A+,66.3,Pass,58.2,26.9
2549018,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,80.8,A+,87.9,Pass,58.2,22.6
2549019,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,42.3,C,61.7,Pass,58.2,-15.9
2549020,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,34.1,F,89.2,Fail,58.2,-24.1
2549021,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,31.7,F,76.5,Fail,58.2,-26.5
2549022,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,82.8,A+,76.7,Pass,58.2,24.6
2549023,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,56,B,81.3,Pass,58.2,-2.2
2549024,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,58.3,B,72.1,Pass,58.2,0.1
2549025,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,65.3,B+,73.7,Pass,58.2,7.1
2549026,Physics,MSc,M.Sc. Physics,PG,1,2,2025-26,Condensed Matter Physics,47.7,C,66.6,Pass,58.2,-10.5
